GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
OpenWMS.org TMS: Routing Services,org.openwms.common.comm.osip.sysu,SystemUpdateMessageHandler,63,0,0,0,11,0,3,0,3,0
OpenWMS.org TMS: Routing Services,org.openwms.common.comm.osip.sysu,SystemUpdateMessageController,11,0,0,0,5,0,2,0,2,0
OpenWMS.org TMS: Routing Services,org.openwms.common.comm.osip.sysu,SystemUpdateMessageListener,20,0,0,0,8,0,2,0,2,0
OpenWMS.org TMS: Routing Services,org.openwms.common.comm.osip.sysu,SystemUpdateVO,167,0,14,0,32,0,21,0,14,0
OpenWMS.org TMS: Routing Services,org.openwms.common.comm.osip.sysu,SystemUpdateMessageConfiguration,22,0,0,0,7,0,4,0,4,0
OpenWMS.org TMS: Routing Services,org.openwms.tms.routing.config,OwmsProperties,35,0,0,0,12,0,6,0,6,0
OpenWMS.org TMS: Routing Services,org.openwms.tms.routing.config,OwmsProperties.Routing,13,0,0,0,4,0,3,0,3,0
OpenWMS.org TMS: Routing Services,org.openwms.tms.routing,Action,153,6,0,0,28,3,18,1,18,1
OpenWMS.org TMS: Routing Services,org.openwms.tms.routing,RouteConst,43,6,8,0,9,3,8,1,4,1
OpenWMS.org TMS: Routing Services,org.openwms.tms.routing,InputContext.new InheritableThreadLocal() {...},10,0,0,0,2,0,2,0,2,0
OpenWMS.org TMS: Routing Services,org.openwms.tms.routing,RoutingServiceRunner,5,3,0,0,2,1,1,1,1,1
OpenWMS.org TMS: Routing Services,org.openwms.tms.routing,InputContext,83,0,8,0,16,0,13,0,9,0
OpenWMS.org TMS: Routing Services,org.openwms.tms.routing,RoutingModuleConfiguration,26,0,0,0,6,0,6,0,6,0
OpenWMS.org TMS: Routing Services,org.openwms.tms.routing,LocationEO,6,3,0,0,2,2,2,1,2,1
OpenWMS.org TMS: Routing Services,org.openwms.tms.routing,ProgramResult,18,0,0,0,6,0,6,0,6,0
OpenWMS.org TMS: Routing Services,org.openwms.tms.routing,RouteImpl,101,20,16,0,26,6,23,3,15,3
OpenWMS.org TMS: Routing Services,org.openwms.tms.routing.ui,RouteVO,206,0,32,0,36,0,37,0,21,0
OpenWMS.org TMS: Routing Services,org.openwms.tms.routing.ui,RouteResource,169,0,8,0,25,0,10,0,6,0
OpenWMS.org TMS: Routing Services,org.openwms.tms.routing.ui,ActionResource,133,0,0,0,21,0,6,0,6,0
OpenWMS.org TMS: Routing Services,org.openwms.tms.routing.ui,ActionVO,213,0,30,0,38,0,37,0,22,0
OpenWMS.org TMS: Routing Services,org.openwms.tms.routing.spi,FlowableExecutor,56,0,4,0,12,0,5,0,3,0
OpenWMS.org TMS: Routing Services,org.openwms.tms.routing.spi,ActivitiMatrix,348,0,40,0,45,0,26,0,6,0
OpenWMS.org TMS: Routing Services,org.openwms.tms.routing.spi,CamundaExecutor,56,0,4,0,12,0,5,0,3,0
OpenWMS.org TMS: Routing Services,org.openwms.common.location,LocationPK.Builder,33,0,0,0,12,0,7,0,7,0
OpenWMS.org TMS: Routing Services,org.openwms.common.location,LocationPK,203,0,22,0,43,0,26,0,15,0
OpenWMS.org TMS: Routing Services,org.openwms.common.location,LocationGroupController,10,0,0,0,4,0,2,0,2,0
OpenWMS.org TMS: Routing Services,org.openwms.tms.routing.routes,ExternalStartListener,120,0,2,0,28,0,4,0,3,0
OpenWMS.org TMS: Routing Services,org.openwms.tms.routing.routes,RouteServiceImpl,154,0,4,0,31,0,11,0,9,0
OpenWMS.org TMS: Routing Services,org.openwms.tms.routing.routes,LocationGroupLoader,10,0,0,0,4,0,2,0,2,0
OpenWMS.org TMS: Routing Services,org.openwms.tms.routing.routes,RouteDetails,29,3,0,0,12,2,7,1,7,1
OpenWMS.org TMS: Routing Services,org.openwms.tms.routing.routes,RouteSearchAlgorithmImpl,610,0,62,0,104,0,45,0,14,0
OpenWMS.org TMS: Routing Services,org.openwms.tms.routing.routes,ExplicitRouteSearch,16,73,1,3,1,14,1,6,0,5
OpenWMS.org TMS: Routing Services,org.openwms.common.comm.osip.locu,LocationUpdateMessageHandler,77,0,4,0,12,0,4,0,2,0
OpenWMS.org TMS: Routing Services,org.openwms.common.comm.osip.locu,LocationUpdateMessageConfiguration,22,0,0,0,7,0,4,0,4,0
OpenWMS.org TMS: Routing Services,org.openwms.common.comm.osip.locu,LocationUpdateMessageListener,20,0,0,0,8,0,2,0,2,0
OpenWMS.org TMS: Routing Services,org.openwms.common.comm.osip.locu,LocationUpdateVO,183,0,16,0,30,0,23,0,15,0
